"precision";"recall";"f1";"accuracy";"total";"type";"threshold"
"9,458080569712909";"67,45633537968031";"15,456231427318919";"72,26480836236934";"1435";"ALL";"0"
"3,465437074636945";"37,541528239202655";"6,020252965495002";"37,541528239202655";"301";"BeginsAt";"0"
"10,141460899923848";"73,00197405527354";"16,420538891870972";"77,66497461928934";"197";"tookPlaceAt";"0"
"13,843667611501878";"91,25318066157762";"21,702949405658423";"93,12977099236642";"131";"carriedOutBy";"0"
"12,833840682017337";"99,33554817275747";"21,391519162165828";"99,33554817275747";"301";"showsFeatures";"0"
"13,543995475390927";"86,4814814814815";"22,788214077310933";"97,6608187134503";"171";"fallsWithin";"0"
"15,783612304677813";"78,40579710144927";"24,734674935050087";"89,1304347826087";"92";"hadParticipant";"0"
"4,0078663453276455";"23,648809523809522";"6,085063064613971";"52,5";"40";"hadParticipantBegins";"0"
"8,672957439519122";"51,70068027210885";"13,17676764192777";"67,34693877551021";"98";"falltookPlace";"0"
"0,7355261267799968";"12,01923076923077";"1,3818817422936411";"13,461538461538462";"104";"fallhasTimeSpan";"0"
"13,136787600829988";"64,99900309041969";"19,71517962831899";"70,13258897418004";"1433";"ALL";"0,1"
"3,952812244070261";"36,54485049833887";"6,8065991677889714";"36,54485049833887";"301";"BeginsAt";"0,1"
"10,887330854221306";"71,73293852227862";"17,500016814243246";"76,14213197969544";"197";"tookPlaceAt";"0,1"
"16,50319281298004";"88,7086513994911";"25,12372096001518";"90,07633587786259";"131";"carriedOutBy";"0,1"
"25,906150400167895";"99,66555183946488";"36,15607628439183";"99,66555183946488";"299";"showsFeatures";"0,1"
"16,014732953885982";"83,54590179151583";"26,108291447951835";"95,90643274853801";"171";"fallsWithin";"0,1"
"16,492897897634467";"65,47101449275361";"24,538652845434452";"79,34782608695652";"92";"hadParticipant";"0,1"
"6,295293776272038";"21,625";"8,53738585228355";"50";"40";"hadParticipantBegins";"0,1"
"10,044022990076469";"47,10884353741497";"14,589953982480656";"64,28571428571429";"98";"falltookPlace";"0,1"
"0,8708345607384067";"7,6923076923076925";"1,541381412704942";"8,653846153846153";"104";"fallhasTimeSpan";"0,1"
"15,722708309724743";"61,73950592599998";"22,431022003898978";"67,31980405878237";"1429";"ALL";"0,2"
"4,6423844007896085";"30,76923076923077";"7,4746093926644095";"30,76923076923077";"299";"BeginsAt";"0,2"
"12,880859859781289";"70,44275239706712";"20,17294329159105";"74,61928934010152";"197";"tookPlaceAt";"0,2"
"18,5681632255045";"87,88167938931299";"27,892033242356955";"89,31297709923665";"131";"carriedOutBy";"0,2"
"29,277042804659057";"99,66555183946488";"40,30135303697473";"99,66555183946488";"299";"showsFeatures";"0,2"
"23,52747570544449";"78,11671335200747";"33,727049153560706";"94,11764705882354";"170";"fallsWithin";"0,2"
"17,867986450853525";"62,39130434782608";"25,933989804238294";"77,17391304347827";"92";"hadParticipant";"0,2"
"10,06547619047619";"16,029761904761905";"9,677521008403364";"37,5";"40";"hadParticipantBegins";"0,2"
"12,829732161245998";"37,5";"15,716974529430399";"58,16326530612245";"98";"falltookPlace";"0,2"
"0,5089732274198294";"4,854368932038835";"0,913609044677006";"4,854368932038835";"103";"fallhasTimeSpan";"0,2"
"18,928284486745213";"59,588449102338";"25,750889578373304";"64,67236467236468";"1404";"ALL";"0,3"
"4,805421126684218";"28,424657534246574";"7,66334495574497";"28,424657534246574";"292";"BeginsAt";"0,3"
"15,695150953059828";"66,2126339537507";"23,47566486145653";"71,06598984771574";"197";"tookPlaceAt";"0,3"
"25,979734354317582";"86,50641025641026";"36,96705492565942";"87,6923076923077";"130";"carriedOutBy";"0,3"
"32,49220497936919";"99,33110367892976";"44,05049362948247";"99,33110367892976";"299";"showsFeatures";"0,3"
"32,18017150688726";"73,96967968824255";"41,57601148383227";"89,22155688622755";"167";"fallsWithin";"0,3"
"20,42540779000093";"60,724637681159415";"27,69683079847198";"75";"92";"hadParticipant";"0,3"
"11,236559139784946";"12,350230414746544";"8,323619770488841";"29,032258064516128";"31";"hadParticipantBegins";"0,3"
"14,041729245810878";"30,102040816326532";"15,790970871165412";"46,93877551020408";"98";"falltookPlace";"0,3"
"0,10204081632653061";"1,0204081632653061";"0,1855287569573284";"1,0204081632653061";"98";"fallhasTimeSpan";"0,3"
"22,783300866443927";"57,550835916220535";"29,22589766542673";"62,79585798816568";"1352";"ALL";"0,4"
"4,982616944982535";"25,448028673835125";"7,757759552509712";"25,448028673835125";"279";"BeginsAt";"0,4"
"21,262210012210012";"57,66609392898053";"28,244625009785697";"62,88659793814433";"194";"tookPlaceAt";"0,4"
"36,35475802567049";"86,28608923884515";"46,27522973618186";"87,4015748031496";"127";"carriedOutBy";"0,4"
"35,71879346962964";"99,33110367892976";"47,5795033654566";"99,33110367892976";"299";"showsFeatures";"0,4"
"37,95228230060801";"66,85704547667738";"45,21110615577465";"85,2760736196319";"163";"fallsWithin";"0,4"
"23,21029753494587";"59,05797101449275";"30,00364558565526";"73,91304347826087";"92";"hadParticipant";"0,4"
"11,764705882352942";"6,302521008403361";"6,666666666666666";"11,764705882352942";"17";"hadParticipantBegins";"0,4"
"16,89035628183701";"27,873563218390803";"17,50846854295129";"44,827586206896555";"87";"falltookPlace";"0,4"
"0";"0";"0";"0";"94";"fallhasTimeSpan";"0,4"
"25,729530000951684";"55,0297696492076";"31,42668090434688";"60,421545667447305";"1281";"ALL";"0,5"
"5,380488852711072";"24,074074074074073";"8,196171112837776";"24,074074074074073";"270";"BeginsAt";"0,5"
"21,698319601545403";"48,41696535244923";"27,23867828706538";"52,68817204301075";"186";"tookPlaceAt";"0,5"
